year,uf_name,mortality,uf,pop,region_code,region_name,mortality_rate
2017,Espírito Santo,406,32,1932993,3,Suldeste,7.27
2017,Goiás,742,52,3384729,5,Centro-Oeste,7.609
2017,Maranhão,1311,21,3445834,2,Nordeste,11.603
2017,Mato Grosso,464,51,1726185,5,Centro-Oeste,8.102
2017,Mato Grosso do Sul,299,50,1349434,5,Centro-Oeste,6.682
2017,Minas Gerais,1887,31,10294859,3,Suldeste,7.231
2017,Paraná,1087,41,5522704,4,Sul,6.893
2017,Paraíba,530,25,1919893,2,Nordeste,9.219
2017,Pará,1515,15,4230858,1,Norte,10.924
2017,Pernambuco,1129,26,4530529,2,Nordeste,8.306
2017,Piauí,498,22,1582045,2,Nordeste,10.257
2017,Rio Grande do Norte,387,24,1683393,2,Nordeste,8.373
2017,Rio Grande do Sul,943,43,5490567,4,Sul,6.661
2017,Rio de Janeiro,1907,33,8149121,3,Suldeste,8.543
2017,Rondônia,217,11,880360,1,Norte,7.89
2017,Roraima,126,14,278190,1,Norte,10.735
2017,Santa Catarina,598,42,3465841,4,Sul,6.081
2017,Sergipe,383,28,1091585,2,Nordeste,11.309
2017,São Paulo,4441,35,22006254,3,Suldeste,7.259
2017,Tocantins,207,17,775907,1,Norte,8.302
2018,Acre,179,12,435044,1,Norte,10.82
2018,Alagoas,465,27,1596027,2,Nordeste,8.858
2018,Amapá,198,16,415402,1,Norte,12.481
2018,Amazonas,832,13,2049916,1,Norte,10.655
2018,Bahia,2081,29,7211705,2,Nordeste,10.135
2018,Ceará,1073,23,4406362,2,Nordeste,8.16
2018,Distrito Federal,279,53,1428656,5,Centro-Oeste,6.313
2018,Espírito Santo,382,32,1955930,3,Suldeste,6.735
2018,Goiás,836,52,3433033,5,Centro-Oeste,8.455
2018,Maranhão,1155,21,3463008,2,Nordeste,9.859
2018,Mato Grosso,456,51,1746832,5,Centro-Oeste,7.775
2018,Mato Grosso do Sul,291,50,1364494,5,Centro-Oeste,6.573
2018,Minas Gerais,1861,31,10359652,3,Suldeste,7.059
2018,Paraná,1058,41,5563258,4,Sul,6.773
2018,Paraíba,486,25,1929789,2,Nordeste,8.072
2018,Pará,1474,15,4273661,1,Norte,10.394
2018,Pernambuco,1193,26,4559464,2,Nordeste,8.625
2018,Piauí,513,22,1584585,2,Nordeste,10.366
2018,Rio Grande do Norte,398,24,1696742,2,Nordeste,8.273
2018,Rio Grande do Sul,898,43,5514083,4,Sul,6.412
2018,Rio de Janeiro,1964,33,8203078,3,Suldeste,8.907
2018,Rondônia,210,11,889834,1,Norte,7.476
2018,Roraima,169,14,295323,1,Norte,12.665
2018,Santa Catarina,595,42,3510700,4,Sul,5.973
2018,Sergipe,418,28,1100994,2,Nordeste,12.202
2018,São Paulo,4233,35,22199331,3,Suldeste,6.983
2018,Tocantins,205,17,784227,1,Norte,8.046
2019,Acre,169,12,441216,1,Norte,10.381
2019,Alagoas,444,27,1601326,2,Nordeste,8.915
2019,Amapá,193,16,423498,1,Norte,12.568
2019,Amazonas,792,13,2081262,1,Norte,10.203
2019,Bahia,1963,29,7233609,2,Nordeste,9.952
2019,Ceará,1005,23,4431656,2,Nordeste,7.78
2019,Distrito Federal,242,53,1448510,5,Centro-Oeste,5.705
2019,Espírito Santo,382,32,1978483,3,Suldeste,6.955
2019,Goiás,782,52,3480335,5,Centro-Oeste,8.136
2019,Maranhão,1150,21,3479859,2,Nordeste,10.149
2019,Mato Grosso,472,51,1767091,5,Centro-Oeste,8.02
2019,Mato Grosso do Sul,292,50,1379290,5,Centro-Oeste,6.683
2019,Minas Gerais,1865,31,10422468,3,Suldeste,7.26
2019,Paraná,986,41,5602812,4,Sul,6.425
2019,Paraíba,506,25,1939480,2,Nordeste,8.769
2019,Pará,1440,15,4315587,1,Norte,10.409
2019,Pernambuco,1120,26,4587992,2,Nordeste,8.398
2019,Piauí,463,22,1586917,2,Nordeste,9.659
2019,Rio Grande do Norte,385,24,1709856,2,Nordeste,8.744
2019,Rio Grande do Sul,938,43,5536738,4,Sul,6.969
2019,Rio de Janeiro,1876,33,8255502,3,Suldeste,9.02
2019,Rondônia,199,11,899108,1,Norte,7.363
2019,Roraima,168,14,312110,1,Norte,11.491
2019,Santa Catarina,602,42,3554814,4,Sul,6.141
2019,Sergipe,387,28,1110181,2,Nordeste,11.836
2019,São Paulo,4282,35,22388135,3,Suldeste,7.342
2019,Tocantins,159,17,792423,1,Norte,6.503
2020,Acre,156,12,447320,1,Norte,10.302
2020,Alagoas,394,27,1606485,2,Nordeste,8.15
2020,Amapá,185,16,431494,1,Norte,12.643
2020,Amazonas,651,13,2112128,1,Norte,8.607
2020,Bahia,1816,29,7254202,2,Nordeste,9.61
2020,Ceará,960,23,4456282,2,Nordeste,7.875
2020,Distrito Federal,253,53,1468025,5,Centro-Oeste,6.428
2020,Espírito Santo,345,32,2000614,3,Suldeste,6.417
2020,Goiás,690,52,3526580,5,Centro-Oeste,7.438
2020,Maranhão,1028,21,3496428,2,Nordeste,9.691
2020,Mato Grosso,412,51,1786977,5,Centro-Oeste,7.223
2020,Mato Grosso do Sul,291,50,1393810,5,Centro-Oeste,7.045
2020,Minas Gerais,1641,31,10483131,3,Suldeste,6.638
2020,Paraná,859,41,5641298,4,Sul,5.872
2020,Paraíba,474,25,1948943,2,Nordeste,8.407
2020,Pará,1375,15,4356651,1,Norte,10.343
2020,Pernambuco,1001,26,4616046,2,Nordeste,7.791
2020,Piauí,393,22,1589035,2,Nordeste,8.689
2020,Rio Grande do Norte,319,24,1722717,2,Nordeste,7.328
2020,Rio Grande do Sul,752,43,5558470,4,Sul,5.752
2020,Rio de Janeiro,1717,33,8306271,3,Suldeste,8.623
2020,Rondônia,222,11,908169,1,Norte,8.605
2020,Roraima,184,14,326495,1,Norte,13.372
2020,Santa Catarina,548,42,3598115,4,Sul,5.597
2020,Sergipe,333,28,1119139,2,Nordeste,10.477
2020,São Paulo,3587,35,22572327,3,Suldeste,6.495
2020,Tocantins,167,17,800489,1,Norte,7.038
2021,Acre,188,12,453359,1,Norte,11.975
2021,Alagoas,450,27,1611492,2,Nordeste,9.22
2021,Amapá,213,16,439387,1,Norte,14.207
2021,Amazonas,755,13,2142533,1,Norte,9.623
2021,Bahia,1875,29,7273381,2,Nordeste,10.11
2021,Ceará,847,23,4480171,2,Nordeste,7.043
2021,Distrito Federal,263,53,1487195,5,Centro-Oeste,6.915
2021,Espírito Santo,370,32,2022280,3,Suldeste,7.049
2021,Goiás,712,52,3571715,5,Centro-Oeste,7.828
2021,Maranhão,1010,21,3512693,2,Nordeste,9.294
2021,Mato Grosso,464,51,1806477,5,Centro-Oeste,8.022
2021,Mato Grosso do Sul,275,50,1408025,5,Centro-Oeste,6.521
2021,Minas Gerais,1607,31,10541449,3,Suldeste,6.637
2021,Paraná,842,41,5678670,4,Sul,5.931
2021,Paraíba,487,25,1958161,2,Nordeste,8.689
2021,Pará,1416,15,4396853,1,Norte,10.326
2021,Pernambuco,1021,26,4643549,2,Nordeste,8.09
2021,Piauí,406,22,1590949,2,Nordeste,8.83
2021,Rio Grande do Norte,344,24,1735303,2,Nordeste,7.921
2021,Rio Grande do Sul,791,43,5579188,4,Sul,6.356
2021,Rio de Janeiro,1686,33,8355190,3,Suldeste,8.88
2021,Rondônia,205,11,917011,1,Norte,8.058
2021,Roraima,191,14,338422,1,Norte,13.74
2021,Santa Catarina,560,42,3640518,4,Sul,5.803
2021,Sergipe,285,28,1127867,2,Nordeste,9.133
2021,São Paulo,3584,35,22751542,3,Suldeste,6.824
2021,Tocantins,205,17,808419,1,Norte,8.633
