year,uf_name,born_alive,uf,age_group,pop,region_code,region_name,birth_rate
2013,Rio Grande do Sul,141350,43,Total,5388825,4,Sul,26.2302078839079
2013,Rio de Janeiro,224031,33,Total,7935688,3,Suldeste,28.230822582742668
2013,Rondônia,27097,11,Total,842425,1,Norte,32.16547467133573
2013,Roraima,10814,14,Total,249023,1,Norte,43.425707665557
2013,Santa Catarina,89875,42,Total,3285585,4,Sul,27.354337203268216
2013,Sergipe,34228,28,Total,1054266,2,Nordeste,32.466189747179556
2013,São Paulo,610896,35,Total,21206883,3,Suldeste,28.80649645683432
2013,Tocantins,24119,17,Total,743446,1,Norte,32.44216795839913
2014,Acre,17139,12,Total,410212,1,Norte,41.78083527541856
2014,Alagoas,51859,27,Total,1574768,2,Nordeste,32.931200024384545
2014,Amapá,16271,16,Total,381800,1,Norte,42.61655316919853
2014,Amazonas,81145,13,Total,1921573,1,Norte,42.22842431695283
2014,Bahia,204034,29,Total,7121489,2,Nordeste,28.650469024104368
2014,Ceará,128681,23,Total,4303775,2,Nordeste,29.899564916846256
2014,Distrito Federal,44721,53,Total,1347128,5,Centro-Oeste,33.19729082908231
2014,Espírito Santo,56548,32,Total,1864376,3,Suldeste,30.330791642887487
2014,Goiás,99798,52,Total,3236445,5,Centro-Oeste,30.835685451166327
2014,Maranhão,117071,21,Total,3396747,2,Nordeste,34.46562255004567
2014,Mato Grosso,56499,51,Total,1664325,5,Centro-Oeste,33.94709566941553
2014,Mato Grosso do Sul,44058,50,Total,1303844,5,Centro-Oeste,33.790852279873974
2014,Minas Gerais,267130,31,Total,10098642,3,Suldeste,26.452071476541104
2014,Paraná,159915,41,Total,5399573,4,Sul,29.61623076491419
2014,Paraíba,57535,25,Total,1891174,2,Nordeste,30.422901330073277
2014,Pará,143503,15,Total,4101424,1,Norte,34.98857957626424
2014,Pernambuco,143489,26,Total,4446434,2,Nordeste,32.27057907527695
2014,Piauí,47941,22,Total,1575158,2,Nordeste,30.43567692891761
2014,Rio Grande do Norte,48111,24,Total,1642156,2,Nordeste,29.297460168217878
2014,Rio Grande do Sul,143315,43,Total,5414110,4,Sul,26.47064799200607
2014,Rio de Janeiro,233584,33,Total,7989111,3,Suldeste,29.23779629548269
2014,Rondônia,27560,11,Total,852003,1,Norte,32.34730394141805
2014,Roraima,11120,14,Total,254398,1,Norte,43.711035464115284
2014,Santa Catarina,93232,42,Total,3330048,4,Sul,27.997194034440344
2014,Sergipe,34369,28,Total,1063835,2,Nordeste,32.306701697161685
2014,São Paulo,625687,35,Total,21407763,3,Suldeste,29.227107942104926
2014,Tocantins,24944,17,Total,751758,1,Norte,33.180890658962056
2015,Acre,16980,12,Total,416747,1,Norte,40.74414452893482
2015,Alagoas,52257,27,Total,1580547,2,Nordeste,33.06260427560838
2015,Amapá,15750,16,Total,390417,1,Norte,40.341481031819825
2015,Amazonas,80097,13,Total,1955183,1,Norte,40.96649776517083
2015,Bahia,206655,29,Total,7144782,2,Nordeste,28.923905585922707
2015,Ceará,132516,23,Total,4329808,2,Nordeste,30.605514147509542
2015,Distrito Federal,46122,53,Total,1368129,5,Centro-Oeste,33.71173332339275
2015,Espírito Santo,56941,32,Total,1887984,3,Suldeste,30.15968355664031
2015,Goiás,100672,52,Total,3287680,5,Centro-Oeste,30.620985010706637
2015,Maranhão,117564,21,Total,3413714,2,Nordeste,34.438737398622145
2015,Mato Grosso,56673,51,Total,1685970,5,Centro-Oeste,33.61447712592751
2015,Mato Grosso do Sul,44142,50,Total,1319520,5,Centro-Oeste,33.45307384503456
2015,Minas Gerais,268305,31,Total,10167615,3,Suldeste,26.388194281549804
2015,Paraná,160947,41,Total,5442208,4,Sul,29.57384208762326
2015,Paraíba,59089,25,Total,1901265,2,Nordeste,31.078781758460813
2015,Pará,143657,15,Total,4146782,1,Norte,34.64300751763657
2015,Pernambuco,145024,26,Total,4476587,2,Nordeste,32.396108910650014
2015,Piauí,49253,22,Total,1577673,2,Nordeste,31.218763330550754
2015,Rio Grande do Norte,49099,24,Total,1656668,2,Nordeste,29.63719948716339
2015,Rio Grande do Sul,148359,43,Total,5440822,4,Sul,27.267754762056175
2015,Rio de Janeiro,236960,33,Total,8045483,3,Suldeste,29.452551201711568
2015,Rondônia,27918,11,Total,861751,1,Norte,32.39682924649928
2015,Roraima,11412,14,Total,260066,1,Norte,43.8811686264256
2015,Santa Catarina,97223,42,Total,3375630,4,Sul,28.801438546286175
2015,Sergipe,34917,28,Total,1073539,2,Nordeste,32.525134159075726
2015,São Paulo,634026,35,Total,21614159,3,Suldeste,29.33382696037352
2015,Tocantins,25110,17,Total,760230,1,Norte,33.02947792115544
2016,Acre,15773,12,Total,422813,1,Norte,37.30490784342014
2016,Alagoas,48164,27,Total,1585689,2,Nordeste,30.37417803869485
2016,Amapá,15521,16,Total,398904,1,Norte,38.909110964041474
2016,Amazonas,76703,13,Total,1986871,1,Norte,38.604922010538175
2016,Bahia,199830,29,Total,7166784,2,Nordeste,27.882799314169368
2016,Ceará,126246,23,Total,4355542,2,Nordeste,28.98514122926607
2016,Distrito Federal,43340,53,Total,1388498,5,Centro-Oeste,31.213584751292405
2016,Espírito Santo,53413,32,Total,1910629,3,Suldeste,27.955715107433207
2016,Goiás,95563,52,Total,3336793,5,Centro-Oeste,28.639175399852494
2016,Maranhão,110493,21,Total,3429686,2,Nordeste,32.2166519034104
2016,Mato Grosso,53531,51,Total,1706243,5,Centro-Oeste,31.373608565720122
2016,Mato Grosso do Sul,42432,50,Total,1334589,5,Centro-Oeste,31.79405794592942
2016,Minas Gerais,253520,31,Total,10231969,3,Suldeste,24.77724473168361
2016,Paraná,155066,41,Total,5482818,4,Sul,28.282171686165764
2016,Paraíba,56083,25,Total,1910681,2,Nordeste,29.352361801891576
2016,Pará,137681,15,Total,4189258,1,Norte,32.86524725858374
2016,Pernambuco,130733,26,Total,4504020,2,Nordeste,29.025848020213054
2016,Piauí,46986,22,Total,1579893,2,Nordeste,29.73998872075514
2016,Rio Grande do Norte,45366,24,Total,1670328,2,Nordeste,27.159935054671898
2016,Rio Grande do Sul,141411,43,Total,5466673,4,Sul,25.86783588482428
2016,Rio de Janeiro,219129,33,Total,8097888,3,Suldeste,27.060018612260382
2016,Rondônia,26602,11,Total,871055,1,Norte,30.539977383747296
2016,Roraima,11376,14,Total,266538,1,Norte,42.68059338630889
2016,Santa Catarina,95313,42,Total,3421008,4,Sul,27.86108655694462
2016,Sergipe,32218,28,Total,1082646,2,Nordeste,29.75857297768615
2016,São Paulo,601437,35,Total,21813699,3,Suldeste,27.571527414951493
2016,Tocantins,23870,17,Total,768086,1,Norte,31.07724916220319
2017,Acre,16358,12,Total,428803,1,Norte,38.148054001487864
2017,Alagoas,50368,27,Total,1590601,2,Nordeste,31.66601806486982
2017,Amapá,15399,16,Total,407218,1,Norte,37.81512605042017
2017,Amazonas,78066,13,Total,2018116,1,Norte,38.68261289242046
2017,Bahia,204096,29,Total,7188569,2,Nordeste,28.39174250118487
2017,Ceará,127797,23,Total,4380484,2,Nordeste,29.174173447500323
2017,Distrito Federal,44568,53,Total,1408492,5,Centro-Oeste,31.64235224623214
2017,Espírito Santo,55846,32,Total,1932993,3,Suldeste,28.890947872030576
2017,Goiás,97520,52,Total,3384729,5,Centro-Oeste,28.811760114325253
2017,Maranhão,112985,21,Total,3445834,2,Nordeste,32.78886910977139
2017,Mato Grosso,57271,51,Total,1726185,5,Centro-Oeste,33.17778801229301
2017,Mato Grosso do Sul,44747,50,Total,1349434,5,Centro-Oeste,33.15982849105625
2017,Minas Gerais,260959,31,Total,10294859,3,Suldeste,25.34847733222961
2017,Paraná,157701,41,Total,5522704,4,Sul,28.555033910924795
2017,Paraíba,57493,25,Total,1919893,2,Nordeste,29.94593969559762
2017,Pará,138684,15,Total,4230858,1,Norte,32.77916677893704
2017,Pernambuco,135932,26,Total,4530529,2,Nordeste,30.003560290641555
2017,Piauí,48551,22,Total,1582045,2,Nordeste,30.688760433489566
2017,Rio Grande do Norte,46222,24,Total,1683393,2,Nordeste,27.457640610362525
2017,Rio Grande do Sul,141568,43,Total,5490567,4,Sul,25.783858024134847
2017,Rio de Janeiro,223224,33,Total,8149121,3,Suldeste,27.39240219896109
2017,Rondônia,27503,11,Total,880360,1,Norte,31.240628833658956
2017,Roraima,11737,14,Total,278190,1,Norte,42.190589165678134
2017,Santa Catarina,98335,42,Total,3465841,4,Sul,28.3726229795308
2017,Sergipe,33867,28,Total,1091585,2,Nordeste,31.02552710050065
2017,São Paulo,611803,35,Total,22006254,3,Suldeste,27.80132411449945
2017,Tocantins,24935,17,Total,775907,1,Norte,32.13658337919364
2018,Acre,16543,12,Total,435044,1,Norte,38.0260387455062
2018,Alagoas,52496,27,Total,1596027,2,Nordeste,32.891674138344776
2018,Amapá,15864,16,Total,415402,1,Norte,38.189512809278725
2018,Amazonas,78087,13,Total,2049916,1,Norte,38.09278038709879
2018,Bahia,205332,29,Total,7211705,2,Nordeste,28.472046485539828
2018,Ceará,131491,23,Total,4406362,2,Nordeste,29.84117056201919
2018,Distrito Federal,44195,53,Total,1428656,5,Centro-Oeste,30.934668667614876
2018,Espírito Santo,56721,32,Total,1955930,3,Suldeste,28.999504072231623
2018,Goiás,98872,52,Total,3433033,5,Centro-Oeste,28.80018922043569
2018,Maranhão,117156,21,Total,3463008,2,Nordeste,33.83070440495661
2018,Mato Grosso,58649,51,Total,1746832,5,Centro-Oeste,33.57449371204558
2018,Mato Grosso do Sul,44275,50,Total,1364494,5,Centro-Oeste,32.44792575123086
2018,Minas Gerais,263640,31,Total,10359652,3,Suldeste,25.448731289429414
2018,Paraná,156201,41,Total,5563258,4,Sul,28.077252573941383
2018,Paraíba,60205,25,Total,1929789,2,Nordeste,31.197711252370077
2018,Pará,141819,15,Total,4273661,1,Norte,33.184428994251064
2018,Pernambuco,138317,26,Total,4559464,2,Nordeste,30.336241277483495
2018,Piauí,49490,22,Total,1584585,2,Nordeste,31.232152266997353
2018,Rio Grande do Norte,48107,24,Total,1696742,2,Nordeste,28.35257216477225
2018,Rio Grande do Sul,140047,43,Total,5514083,4,Sul,25.398058027055452
2018,Rio de Janeiro,220499,33,Total,8203078,3,Suldeste,26.880032105022043
2018,Rondônia,28091,11,Total,889834,1,Norte,31.568809463338106
2018,Roraima,13344,14,Total,295323,1,Norte,45.184425188691705
2018,Santa Catarina,99609,42,Total,3510700,4,Sul,28.372974050759108
2018,Sergipe,34256,28,Total,1100994,2,Nordeste,31.11370270864328
2018,São Paulo,606146,35,Total,22199331,3,Suldeste,27.30469670459889
2018,Tocantins,25480,17,Total,784227,1,Norte,32.49059264728197
2019,Acre,16280,12,Total,441216,1,Norte,36.89802727008993
2019,Alagoas,49803,27,Total,1601326,2,Nordeste,31.10109996340533
2019,Amapá,15356,16,Total,423498,1,Norte,36.259911498991734
2019,Amazonas,77622,13,Total,2081262,1,Norte,37.29564081792682
2019,Bahia,197249,29,Total,7233609,2,Nordeste,27.268407789251533
2019,Ceará,129185,23,Total,4431656,2,Nordeste,29.150502656343363
2019,Distrito Federal,42422,53,Total,1448510,5,Centro-Oeste,29.286646277899358
2019,Espírito Santo,54925,32,Total,1978483,3,Suldeste,27.761168531647733
2019,Goiás,96112,52,Total,3480335,5,Centro-Oeste,27.615732393577055
2019,Maranhão,113317,21,Total,3479859,2,Nordeste,32.563675712148104
2019,Mato Grosso,58852,51,Total,1767091,5,Centro-Oeste,33.30445347749493
2019,Mato Grosso do Sul,43695,50,Total,1379290,5,Centro-Oeste,31.679342270298488
2019,Minas Gerais,256892,31,Total,10422468,3,Suldeste,24.647904891624517
2019,Paraná,153469,41,Total,5602812,4,Sul,27.391424163437932
2019,Paraíba,57701,25,Total,1939480,2,Nordeste,29.750757935116628
2019,Pará,138341,15,Total,4315587,1,Norte,32.056125852636036
2019,Pernambuco,133359,26,Total,4587992,2,Nordeste,29.066964371341538
2019,Piauí,47933,22,Total,1586917,2,Nordeste,30.205108395713197
2019,Rio Grande do Norte,44031,24,Total,1709856,2,Nordeste,25.75129133681433
2019,Rio Grande do Sul,134596,43,Total,5536738,4,Sul,24.30962057442487
2019,Rio de Janeiro,207989,33,Total,8255502,3,Suldeste,25.193985780634538
2019,Rondônia,27028,11,Total,899108,1,Norte,30.060904807876252
2019,Roraima,14620,14,Total,312110,1,Norte,46.84245938931787
2019,Santa Catarina,98032,42,Total,3554814,4,Sul,27.577251580532764
2019,Sergipe,32697,28,Total,1110181,2,Nordeste,29.451954230886674
2019,São Paulo,583191,35,Total,22388135,3,Suldeste,26.049110388158727
2019,Tocantins,24449,17,Total,792423,1,Norte,30.853470936608353
2020,Acre,15142,12,Total,447320,1,Norte,33.850487346865776
2020,Alagoas,48341,27,Total,1606485,2,Nordeste,30.091161759991536
2020,Amapá,14633,16,Total,431494,1,Norte,33.9124066615063
2020,Amazonas,75635,13,Total,2112128,1,Norte,35.8098562208351
2020,Bahia,188960,29,Total,7254202,2,Nordeste,26.04835101090375
2020,Ceará,121904,23,Total,4456282,2,Nordeste,27.355539887287204
2020,Distrito Federal,39361,53,Total,1468025,5,Centro-Oeste,26.812213688458986
2020,Espírito Santo,53767,32,Total,2000614,3,Suldeste,26.87524929846537
2020,Goiás,92768,52,Total,3526580,5,Centro-Oeste,26.305372343743798
2020,Maranhão,106079,21,Total,3496428,2,Nordeste,30.339249085066246
2020,Mato Grosso,57037,51,Total,1786977,5,Centro-Oeste,31.91815003774531
2020,Mato Grosso do Sul,41308,50,Total,1393810,5,Centro-Oeste,29.63675106363134
2020,Minas Gerais,247198,31,Total,10483131,3,Suldeste,23.580550505378593
2020,Paraná,146291,41,Total,5641298,4,Sul,25.932152493982766
2020,Paraíba,56379,25,Total,1948943,2,Nordeste,28.927988145369053
2020,Pará,132938,15,Total,4356651,1,Norte,30.5138052141427
2020,Pernambuco,128481,26,Total,4616046,2,Nordeste,27.833561450644122
2020,Piauí,45229,22,Total,1589035,2,Nordeste,28.463186776880306
2020,Rio Grande do Norte,43531,24,Total,1722717,2,Nordeste,25.26880503297988
2020,Rio Grande do Sul,130742,43,Total,5558470,4,Sul,23.521220767585326
2020,Rio de Janeiro,199124,33,Total,8306271,3,Suldeste,23.972730964352113
2020,Rondônia,25798,11,Total,908169,1,Norte,28.40660714030098
2020,Roraima,13760,14,Total,326495,1,Norte,42.14459639504433
2020,Santa Catarina,97916,42,Total,3598115,4,Sul,27.213137990308816
2020,Sergipe,31784,28,Total,1119139,2,Nordeste,28.400404239330413
2020,São Paulo,552310,35,Total,22572327,3,Suldeste,24.468456442262244
2020,Tocantins,23729,17,Total,800489,1,Norte,29.643130636398503
2021,Acre,15699,12,Total,453359,1,Norte,34.62818649238242
2021,Alagoas,48808,27,Total,1611492,2,Nordeste,30.28746031627833
2021,Amapá,14993,16,Total,439387,1,Norte,34.12253890078678
2021,Amazonas,78454,13,Total,2142533,1,Norte,36.61740565956277
2021,Bahia,185459,29,Total,7273381,2,Nordeste,25.498320519714284
2021,Ceará,120266,23,Total,4480171,2,Nordeste,26.84406465735348
2021,Distrito Federal,38035,53,Total,1487195,5,Centro-Oeste,25.574991847067803
2021,Espírito Santo,52493,32,Total,2022280,3,Suldeste,25.957335284925925
2021,Goiás,90961,52,Total,3571715,5,Centro-Oeste,25.467037543589004
2021,Maranhão,108667,21,Total,3512693,2,Nordeste,30.935524396808944
2021,Mato Grosso,57841,51,Total,1806477,5,Centro-Oeste,32.01867502326351
2021,Mato Grosso do Sul,42173,50,Total,1408025,5,Centro-Oeste,29.95188295662364
2021,Minas Gerais,242136,31,Total,10541449,3,Suldeste,22.969897212423074
2021,Paraná,141976,41,Total,5678670,4,Sul,25.001628902542322
2021,Paraíba,56049,25,Total,1958161,2,Nordeste,28.62328480650978
2021,Pará,137129,15,Total,4396853,1,Norte,31.187988318008358
2021,Pernambuco,126211,26,Total,4643549,2,Nordeste,27.179857475392204
2021,Piauí,45978,22,Total,1590949,2,Nordeste,28.89973217243293
2021,Rio Grande do Norte,43430,24,Total,1735303,2,Nordeste,25.02732952112686
2021,Rio Grande do Sul,124446,43,Total,5579188,4,Sul,22.305396412524548
2021,Rio de Janeiro,189866,33,Total,8355190,3,Suldeste,22.724318657026352
2021,Rondônia,25439,11,Total,917011,1,Norte,27.741215754227593
2021,Roraima,13901,14,Total,338422,1,Norte,41.07593477965381
2021,Santa Catarina,96499,42,Total,3640518,4,Sul,26.506942143947647
2021,Sergipe,31206,28,Total,1127867,2,Nordeste,27.668155908453745
2021,São Paulo,525239,35,Total,22751542,3,Suldeste,23.08586380650595
2021,Tocantins,23747,17,Total,808419,1,Norte,29.37461885482652
