year,uf_name,born_alive,uf,age_group,pop,region_code,region_name,birth_rate
2003,Bahia,239017,29,Total,6781399,2,Nordeste,35.245972106935454
2003,Ceará,140083,23,Total,3884283,2,Nordeste,36.064056094779914
2003,Distrito Federal,46097,53,Total,1081732,5,Centro-Oeste,42.614067070217025
2003,Espírito Santo,53417,32,Total,1635534,3,Suldeste,32.66028098468146
2003,Goiás,92081,52,Total,2709414,5,Centro-Oeste,33.98557769318384
2003,Maranhão,127920,21,Total,3038320,2,Nordeste,42.10221438163195
2003,Mato Grosso,48539,51,Total,1399073,5,Centro-Oeste,34.693686462393316
2003,Mato Grosso do Sul,39248,50,Total,1120870,5,Centro-Oeste,35.015657480350086
2003,Minas Gerais,284904,31,Total,9345167,3,Suldeste,30.486774607666188
2003,Paraná,157333,41,Total,4979970,4,Sul,31.593162207804465
2003,Paraíba,64115,25,Total,1766476,2,Nordeste,36.295426600757665
2003,Pará,144812,15,Total,3434350,1,Norte,42.165766447799435
2003,Pernambuco,151677,26,Total,4056640,2,Nordeste,37.38981028634535
2003,Piauí,55105,22,Total,1488803,2,Nordeste,37.012956045897276
2003,Rio Grande do Norte,52312,24,Total,1457721,2,Nordeste,35.88615379760599
2003,Rio Grande do Sul,149165,43,Total,5180286,4,Sul,28.794742220796305
2003,Rio de Janeiro,232255,33,Total,7299715,3,Suldeste,31.816995595033504
2003,Rondônia,28809,11,Total,753639,1,Norte,38.226524901179474
2003,Roraima,10160,14,Total,189090,1,Norte,53.73102755301708
2003,Santa Catarina,83177,42,Total,2862103,4,Sul,29.061497786767283
2003,Sergipe,36884,28,Total,940165,2,Nordeste,39.231411507554526
2003,São Paulo,610555,35,Total,19150096,3,Suldeste,31.88260779475988
2003,Tocantins,26053,17,Total,643081,1,Norte,40.51278143810811
2004,Acre,16584,12,Total,329900,1,Norte,50.26977872082449
2004,Alagoas,59258,27,Total,1478625,2,Nordeste,40.07642235184716
2004,Amapá,13971,16,Total,288454,1,Norte,48.43406574358477
2004,Amazonas,71345,13,Total,1578994,1,Norte,45.18383223748792
2004,Bahia,234454,29,Total,6826922,2,Nordeste,34.34256316389729
2004,Ceará,137335,23,Total,3932585,2,Nordeste,34.92232208585447
2004,Distrito Federal,45593,53,Total,1108211,5,Centro-Oeste,41.14108233901306
2004,Espírito Santo,53243,32,Total,1656251,3,Suldeste,32.14669757180524
2004,Goiás,91231,52,Total,2759156,5,Centro-Oeste,33.06482127143228
2004,Maranhão,126518,21,Total,3084610,2,Nordeste,41.015882072612094
2004,Mato Grosso,51205,51,Total,1426292,5,Centro-Oeste,35.900783289817234
2004,Mato Grosso do Sul,41567,50,Total,1139022,5,Centro-Oeste,36.49358835913617
2004,Minas Gerais,277691,31,Total,9425225,3,Suldeste,29.462532724682966
2004,Paraná,159636,41,Total,5019728,4,Sul,31.801723121252785
2004,Paraíba,62200,25,Total,1781720,2,Nordeste,34.91008688233841
2004,Pará,142894,15,Total,3506355,1,Norte,40.75286158988465
2004,Pernambuco,149631,26,Total,4098414,2,Nordeste,36.509488792493876
2004,Piauí,54747,22,Total,1501791,2,Nordeste,36.45447335880958
2004,Rio Grande do Norte,50805,24,Total,1476636,2,Nordeste,34.405906398056125
2004,Rio Grande do Sul,153015,43,Total,5205898,4,Sul,29.3926235204762
2004,Rio de Janeiro,229901,33,Total,7373266,3,Suldeste,31.18034803030299
2004,Rondônia,28927,11,Total,763279,1,Norte,37.89833075454716
2004,Roraima,9742,14,Total,195436,1,Norte,49.84752041589062
2004,Santa Catarina,85475,42,Total,2904355,4,Sul,29.429942276340185
2004,Sergipe,35827,28,Total,952888,2,Nordeste,37.59833264769836
2004,São Paulo,618080,35,Total,19363768,3,Suldeste,31.919407421117626
2004,Tocantins,25673,17,Total,654167,1,Norte,39.24533032085079
2005,Acre,17482,12,Total,339242,1,Norte,51.53253429705048
2005,Alagoas,60662,27,Total,1492164,2,Nordeste,40.65370830552138
2005,Amapá,14205,16,Total,298183,1,Norte,47.638530700945395
2005,Amazonas,73488,13,Total,1613223,1,Norte,45.5535285574282
2005,Bahia,231065,29,Total,6868204,2,Nordeste,33.64271067079545
2005,Ceará,140035,23,Total,3980801,2,Nordeste,35.17759365514629
2005,Distrito Federal,45917,53,Total,1134740,5,Centro-Oeste,40.46477607205175
2005,Espírito Santo,52399,32,Total,1676448,3,Suldeste,31.25596499265113
2005,Goiás,91556,52,Total,2808083,5,Centro-Oeste,32.604449369908224
2005,Maranhão,130266,21,Total,3130070,2,Nordeste,41.61759960639858
2005,Mato Grosso,52410,51,Total,1454452,5,Centro-Oeste,36.03419019672014
2005,Mato Grosso do Sul,41424,50,Total,1157136,5,Centro-Oeste,35.798730659144645
2005,Minas Gerais,277468,31,Total,9501633,3,Suldeste,29.202138200875577
2005,Paraná,160323,41,Total,5059587,4,Sul,31.68697366010309
2005,Paraíba,64294,25,Total,1796789,2,Nordeste,35.78272128780842
2005,Pará,145539,15,Total,3577303,1,Norte,40.68400132725687
2005,Pernambuco,152095,26,Total,4139324,2,Nordeste,36.743922437576764
2005,Piauí,56866,22,Total,1514800,2,Nordeste,37.540269342487456
2005,Rio Grande do Norte,52330,24,Total,1495802,2,Nordeste,34.98457683570419
2005,Rio Grande do Sul,147199,43,Total,5230889,4,Sul,28.1403409630753
2005,Rio de Janeiro,223094,33,Total,7444865,3,Suldeste,29.96615788197637
2005,Rondônia,28081,11,Total,772743,1,Norte,36.33937803383531
2005,Roraima,9694,14,Total,201592,1,Norte,48.08722568355887
2005,Santa Catarina,84584,42,Total,2947305,4,Sul,28.69876039296917
2005,Sergipe,37370,28,Total,965434,2,Nordeste,38.70798003799327
2005,São Paulo,618880,35,Total,19577961,3,Suldeste,31.611054899945913
2005,Tocantins,26368,17,Total,665232,1,Norte,39.63729946845612
2006,Acre,16448,12,Total,348616,1,Norte,47.180852284461984
2006,Alagoas,57510,27,Total,1505195,2,Nordeste,38.20767408873933
2006,Amapá,14714,16,Total,308045,1,Norte,47.765748510769534
2006,Amazonas,75584,13,Total,1648471,1,Norte,45.850973417184775
2006,Bahia,220187,29,Total,6904479,2,Nordeste,31.89045835319363
2006,Ceará,135020,23,Total,4028695,2,Nordeste,33.51457481889297
2006,Distrito Federal,45152,53,Total,1161464,5,Centro-Oeste,38.87507490546414
2006,Espírito Santo,51449,32,Total,1695997,3,Suldeste,30.335548942598365
2006,Goiás,87483,52,Total,2856003,5,Centro-Oeste,30.63127034530426
2006,Maranhão,127724,21,Total,3175078,2,Nordeste,40.227043241142425
2006,Mato Grosso,49522,51,Total,1482331,5,Centro-Oeste,33.408192906982315
2006,Mato Grosso do Sul,39515,50,Total,1174799,5,Centro-Oeste,33.63554105851299
2006,Minas Gerais,266143,31,Total,9573944,3,Suldeste,27.79867941571415
2006,Paraná,153598,41,Total,5098371,4,Sul,30.126877781157944
2006,Paraíba,60232,25,Total,1811439,2,Nordeste,33.25091267219045
2006,Pará,150202,15,Total,3648433,1,Norte,41.168907308973466
2006,Pernambuco,146108,26,Total,4179862,2,Nordeste,34.955221009688834
2006,Piauí,55342,22,Total,1527153,2,Nordeste,36.238674186541886
2006,Rio Grande do Norte,48122,24,Total,1514640,2,Nordeste,31.771245972640365
2006,Rio Grande do Sul,141331,43,Total,5252453,4,Sul,26.90761821190975
2006,Rio de Janeiro,218435,33,Total,7513889,3,Suldeste,29.070831363093067
2006,Rondônia,24925,11,Total,781899,1,Norte,31.877518707659174
2006,Roraima,9592,14,Total,207707,1,Norte,46.18043686539212
2006,Santa Catarina,84133,42,Total,2989625,4,Sul,28.141656562277877
2006,Sergipe,37061,28,Total,978145,2,Nordeste,37.88906552709465
2006,São Paulo,603368,35,Total,19786752,3,Suldeste,30.493534259690524
2006,Tocantins,26028,17,Total,676501,1,Norte,38.47444423585479
2007,Acre,16183,12,Total,357802,1,Norte,45.22892549510623
2007,Alagoas,57406,27,Total,1517103,2,Nordeste,37.839223836483086
2007,Amapá,14425,16,Total,317853,1,Norte,45.382613975642826
2007,Amazonas,73469,13,Total,1683822,1,Norte,43.63228417255505
2007,Bahia,220398,29,Total,6936820,2,Nordeste,31.772195328695283
2007,Ceará,133839,23,Total,4074648,2,Nordeste,32.846763695906986
2007,Distrito Federal,44098,53,Total,1187756,5,Centro-Oeste,37.12715406194538
2007,Espírito Santo,51020,32,Total,1714878,3,Suldeste,29.751387562263904
2007,Goiás,85159,52,Total,2901886,5,Centro-Oeste,29.346087337683148
2007,Maranhão,127307,21,Total,3217627,2,Nordeste,39.56549345216211
2007,Mato Grosso,47382,51,Total,1508708,5,Centro-Oeste,31.405679561585146
2007,Mato Grosso do Sul,38621,50,Total,1191439,5,Centro-Oeste,32.41542370192683
2007,Minas Gerais,259505,31,Total,9640162,3,Suldeste,26.91915343331367
2007,Paraná,147554,41,Total,5133959,4,Sul,28.74078269810881
2007,Paraíba,59456,25,Total,1824733,2,Nordeste,32.58339713262159
2007,Pará,150147,15,Total,3718202,1,Norte,40.38161455456159
2007,Pernambuco,143095,26,Total,4218665,2,Nordeste,33.91949822989026
2007,Piauí,53214,22,Total,1538292,2,Nordeste,34.59291213891771
2007,Rio Grande do Norte,48072,24,Total,1532242,2,Nordeste,31.37363419094373
2007,Rio Grande do Sul,133401,43,Total,5269866,4,Sul,25.313926388261105
